Station Name,Measurement Timestamp,Air Temperature
63rd Street Weather Station,01/06/2016 11:00:00 AM,2.1
63rd Street Weather Station,01/06/2016 12:00:00 PM,2.8
Oak Street Weather Station,01/06/2016 12:00:00 PM,2.5
Foster Weather Station,01/06/2016 12:00:00 PM,1.56
Foster Weather Station,01/06/2016 01:00:00 PM,2.39
Oak Street Weather Station,01/06/2016 01:00:00 PM,3.5
63rd Street Weather Station,01/06/2016 01:00:00 PM,3.6
Oak Street Weather Station,01/06/2016 02:00:00 PM,3.8
63rd Street Weather Station,01/06/2016 02:00:00 PM,3.8
Foster Weather Station,01/06/2016 02:00:00 PM,2.67
63rd Street Weather Station,01/06/2016 03:00:00 PM,4.2
Oak Street Weather Station,01/06/2016 03:00:00 PM,3.9
Foster Weather Station,01/06/2016 03:00:00 PM,3.17
Oak Street Weather Station,01/06/2016 04:00:00 PM,4.4
Foster Weather Station,01/06/2016 04:00:00 PM,3.5
63rd Street Weather Station,01/06/2016 04:00:00 PM,4.4
Foster Weather Station,01/06/2016 05:00:00 PM,3.5
63rd Street Weather Station,01/06/2016 05:00:00 PM,3.9
Oak Street Weather Station,01/06/2016 05:00:00 PM,4.7
Foster Weather Station,01/06/2016 06:00:00 PM,3.56
Oak Street Weather Station,01/06/2016 06:00:00 PM,4.2
63rd Street Weather Station,01/06/2016 06:00:00 PM,3.6
63rd Street Weather Station,01/06/2016 07:00:00 PM,3.4
Foster Weather Station,01/06/2016 07:00:00 PM,3.39
Oak Street Weather Station,01/06/2016 07:00:00 PM,4.3
Foster Weather Station,01/06/2016 08:00:00 PM,3.28
Oak Street Weather Station,01/06/2016 08:00:00 PM,4.3
63rd Street Weather Station,01/06/2016 08:00:00 PM,3.4
Oak Street Weather Station,01/06/2016 09:00:00 PM,4.3
Foster Weather Station,01/06/2016 09:00:00 PM,3.28
63rd Street Weather Station,01/06/2016 09:00:00 PM,3.4
Oak Street Weather Station,01/07/2016 10:00:00 AM,3.6
63rd Street Weather Station,01/07/2016 10:00:00 AM,4.4
Foster Weather Station,01/07/2016 10:00:00 AM,2.28
Oak Street Weather Station,01/07/2016 11:00:00 AM,3.9
63rd Street Weather Station,01/07/2016 11:00:00 AM,5.0
Foster Weather Station,01/07/2016 11:00:00 AM,2.56
63rd Street Weather Station,01/07/2016 12:00:00 PM,5.3
Oak Street Weather Station,01/07/2016 12:00:00 PM,4.7
Foster Weather Station,01/07/2016 12:00:00 PM,3.0
63rd Street Weather Station,01/07/2016 01:00:00 PM,5.8
Oak Street Weather Station,01/07/2016 01:00:00 PM,4.2
Foster Weather Station,01/07/2016 01:00:00 PM,2.89
Foster Weather Station,01/07/2016 02:00:00 PM,3.0
Oak Street Weather Station,01/07/2016 02:00:00 PM,4.9
63rd Street Weather Station,01/07/2016 02:00:00 PM,6.3
Foster Weather Station,01/07/2016 03:00:00 PM,3.0
63rd Street Weather Station,01/07/2016 03:00:00 PM,6.2
Oak Street Weather Station,01/07/2016 03:00:00 PM,4.4
Foster Weather Station,01/07/2016 04:00:00 PM,3.06
63rd Street Weather Station,01/07/2016 04:00:00 PM,5.0
Oak Street Weather Station,01/07/2016 04:00:00 PM,5.4
63rd Street Weather Station,01/07/2016 05:00:00 PM,6.1
Oak Street Weather Station,01/07/2016 05:00:00 PM,6.0
Foster Weather Station,01/07/2016 05:00:00 PM,3.28
Oak Street Weather Station,01/07/2016 06:00:00 PM,6.5
Foster Weather Station,01/07/2016 06:00:00 PM,3.5
63rd Street Weather Station,01/07/2016 06:00:00 PM,5.4
Oak Street Weather Station,01/07/2016 07:00:00 PM,6.1
Foster Weather Station,01/07/2016 07:00:00 PM,3.67
63rd Street Weather Station,01/07/2016 07:00:00 PM,4.2
Oak Street Weather Station,01/07/2016 08:00:00 PM,6.0
Foster Weather Station,01/07/2016 08:00:00 PM,3.5
63rd Street Weather Station,01/07/2016 08:00:00 PM,4.7
Oak Street Weather Station,01/07/2016 09:00:00 PM,6.3
Foster Weather Station,01/07/2016 09:00:00 PM,3.39
63rd Street Weather Station,01/07/2016 09:00:00 PM,4.2
Foster Weather Station,01/07/2016 10:00:00 PM,3.78
63rd Street Weather Station,01/07/2016 10:00:00 PM,6.0
Oak Street Weather Station,01/07/2016 10:00:00 PM,6.2
63rd Street Weather Station,01/07/2016 11:00:00 PM,5.8
Oak Street Weather Station,01/07/2016 11:00:00 PM,7.0
Foster Weather Station,01/07/2016 11:00:00 PM,3.5
Foster Weather Station,01/08/2016 12:00:00 AM,3.5
63rd Street Weather Station,01/08/2016 12:00:00 AM,5.5
Oak Street Weather Station,01/08/2016 12:00:00 AM,6.4
Foster Weather Station,01/08/2016 01:00:00 AM,3.28
63rd Street Weather Station,01/08/2016 01:00:00 AM,5.1
Oak Street Weather Station,01/08/2016 01:00:00 AM,6.1
Oak Street Weather Station,01/08/2016 02:00:00 AM,5.8
63rd Street Weather Station,01/08/2016 02:00:00 AM,5.2
Foster Weather Station,01/08/2016 02:00:00 AM,3.28
Foster Weather Station,01/08/2016 03:00:00 AM,3.39
